#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     2999    0.300    1.456    0.354     3876    2.165
       1     1655    0.166    1.751    0.348     1777    1.958
       2     1647    0.165    1.455    0.325     9083    2.212
       3     1381    0.138    1.743    0.383     8000    2.179
       4      865    0.086    1.502    0.271     6657    2.098
       5      598    0.060    1.773    0.384     1293    2.066
       6      320    0.032    1.755    0.420     6170    2.332
       7      288    0.029    1.797    0.357      888    2.180
       8      218    0.022    1.648    0.263       97    3.232
       9       29    0.003    1.186    0.238     6931    2.485
