#Frame      Mode1    Mode2    Mode3
       1    3.453   18.144   -2.806
       2    5.710   20.433   -3.974
       3    5.409   19.056   -0.919
       4    5.835   17.587   -1.698
       5    6.518   21.539   -5.818
       6    5.577   16.920   -0.237
       7    6.855   20.898   -1.547
       8    5.338   20.895   -1.967
       9    6.687   20.084   -4.838
      10    6.411   19.519   -3.468
      11    0.763   26.655    8.146
      12    1.594   25.002    5.664
      13    0.546   27.243    4.392
      14    0.176   24.487    5.701
      15   -0.437   24.871    5.280
      16    2.285   29.439    5.090
      17    3.862   28.516    5.681
      18    2.371   25.413    7.157
      19    2.665   20.448    4.111
      20    1.294   25.206    6.517
      21    2.294   24.497    2.773
      22   -3.244   23.729    7.050
      23   -0.181   22.784    5.791
      24   -0.757   20.233    5.465
      25   -1.438   27.688    6.684
      26    1.160   27.190    7.996
      27   -0.282   28.032    7.755
      28   -1.322   30.726    3.512
      29   -4.070   32.372    8.226
      30   -0.836   33.731    0.148
      31   -1.706   26.758    4.386
      32   -2.331   29.387    9.697
      33    0.703   31.579    6.179
      34    1.143   30.012   10.460
      35    3.964   29.885   10.218
      36   -2.111   31.014    6.836
      37   -1.198   31.999    5.960
      38   -1.521   31.066    6.539
      39    3.683   29.060    8.702
      40   -1.484   30.221    7.828
      41   -0.303   33.744    7.932
      42   -3.553   33.803    7.449
      43   -1.273   31.945    7.697
      44   -2.020   29.133    8.269
      45    0.595   27.266    7.064
      46    1.299   31.531   10.299
      47   -1.098   33.935    5.962
      48    1.297   31.439    6.746
      49   -0.070   32.148    5.684
      50   -1.465   30.414    6.006
      51   -2.466   28.247    8.528
      52   -0.219   30.408    7.536
      53   -1.293   26.981    7.912
      54   -1.716   28.079    9.705
      55    0.278   29.616    7.967
      56   -3.202   30.303    9.171
      57   -3.172   30.089    8.531
      58   -1.789   27.656    9.133
      59   -2.836   29.437    8.577
      60   -1.524   28.554    8.483
      61    0.832   29.000   11.528
      62   -0.953   28.628   10.847
      63    2.550   29.469    8.453
      64    1.206   28.572    7.930
      65    1.088   29.574    6.866
      66    3.115   32.675    9.472
      67    1.126   30.281    8.515
      68    0.598   29.391   11.228
      69   -0.028   29.073    9.879
      70    0.132   28.048    7.176
      71    1.698   30.860    8.275
      72   -0.482   29.889    9.042
      73    0.613   31.613   10.404
      74   -1.672   31.555    9.555
      75   -1.096   31.794    7.350
      76   -1.578   30.105    9.906
      77   -1.849   34.935   10.300
      78   -0.761   30.661    8.399
      79   -1.098   30.156    8.348
      80    0.681   31.609    8.114
      81   -0.101   30.914    6.297
      82    1.447   27.050    9.240
      83    0.409   28.568    8.907
      84    0.086   30.942    7.674
      85    1.352   28.899    7.793
      86    1.327   28.714    3.485
      87   -0.243   32.228    5.369
      88    0.756   26.916    9.165
      89    1.184   27.204   10.394
      90   -0.991   30.312   10.033
      91    1.499   26.259   10.725
      92    0.610   28.054   11.340
      93   -0.757   31.308   11.796
      94   -1.795   30.468    8.844
      95   -0.611   29.230   11.169
      96    1.286   27.400    8.340
      97    1.118   28.871    7.014
      98    1.729   30.566    8.703
      99    4.115   22.409    5.271
     100    1.111   27.737    7.259
     101    6.136   24.692    2.471
     102    1.334   27.905    2.508
